sep=,
Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,AnswerCode,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,consent status,owner_gender,total donkeys owned,reason for coming,number vaccs,number worming,number castration,individual donkey form status,individual form number,ownerID number,comments,owner village,owner_age,primary_work_type,secondary_work,working_hours,days per week worked,stress hours,rest_period_number
May,23/05/17,09:51 AM,03/06/17 07:12 PM,8.42602746,77.97038098,O-230517095125-86-2,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,6,worming,,6,,yes,0,050,,shanmughapuram,32,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,04:41 PM,03/06/17 07:12 PM,8.4199687,77.9977381,O-010617164146-86-2,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,2,051,,udankudi,50,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,05:33 PM,03/06/17 07:12 PM,8.41964033,77.99781302,O-010617173301-86-3,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,treatment,,,,yes,1,052,,shanmughapuram,35,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,05:34 PM,03/06/17 07:12 PM,8.4687056,78.04065102,O-010617173455-86-4,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,056,5F+5M,thandapathu,30,pack,pack,4 to 8 hours,2,yes_stress_hours,4
Jun,01/06/17,06:29 PM,03/06/17 07:12 PM,8.42674575,78.03193916,O-010617182916-86-5,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,053,,meyoor,30,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,06:44 PM,03/06/17 07:12 PM,8.42676549,78.03202498,O-010617184426-86-6,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,054,,meyoor,45,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,06:45 PM,03/06/17 07:12 PM,8.42676636,78.03203221,O-010617184517-86-7,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,other(study),,,,yes,0,055,,meyoor,52,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,01/06/17,06:46 PM,03/06/17 07:12 PM,8.40842463,77.97363068,O-010617184617-86-8,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,10,worming,,9,,yes,0,057,10F,anbinagaram,60,pack,other(breeding),less than 4,1,no_stress_hours,6
Jun,02/06/17,10:43 AM,03/06/17 07:12 PM,8.41912029,77.99775911,O-020617104309-86-9,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,27,other(study),,,,yes,0,058,,kuttampuli,65,pack,pack,4 to 8 hours,2,no_stress_hours,6
Jun,02/06/17,01:02 PM,03/06/17 07:12 PM,8.7051087,78.05107564,O-020617130229-86-10,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,15,other(study),,,,yes,00,059,,thangamalpuram,38,pack,pack,4 to 8 hours,5,no_stress_hours,6
Jun,02/06/17,01:16 PM,03/06/17 07:12 PM,8.61205698,78.06302796,O-020617131614-86-11,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,5,other(study),,,,yes,00,060,,marunthalai,24,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/17,02:12 PM,03/06/17 07:12 PM,8.61207609,78.06303192,O-020617141231-86-12,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,15,other(study),,,,yes,00,061,,thangamalpuram,35,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/17,02:14 PM,03/06/17 07:12 PM,8.62953302,77.91890432,O-020617141409-86-13,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,20,other(study),,,,yes,00,062,12M+8F,siruvaikundam,51,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,02/06/17,04:09 PM,03/06/17 07:12 PM,8.41309595,77.99998528,O-020617160952-86-14,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,17,"treatment,other(study)",,,,yes,02,063,,gandhinagar,38,pack,pack,4 to 8 hours,3,yes_stress_hours,4
Jun,02/06/17,06:46 PM,03/06/17 07:12 PM,8.59903661,77.99511452,O-020617184610-86-15,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,14,worming,,12,,yes,01,063,,thenthiruperai,33,pack,pack,4 to 8 hours,5,no_stress_hours,6
Jun,03/06/17,11:24 AM,03/06/17 07:12 PM,8.59048675,77.97554087,O-030617112404-86-16,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,13,worming,,13,,yes,00,064,,atharankal,55,pack,pack,4 to 8 hours,5,no_stress_hours,6
Jun,03/06/17,12:12 PM,03/06/17 07:12 PM,8.6069624,77.9436735,O-030617121221-86-17,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin ,No,consent given,male,5,other(study),,,,yes,00,065,,alwarthirunagari,58,pack,pack,4 to 8 hours,4,no_stress_hours,6
Jun,03/06/17,12:56 PM,03/06/17 07:12 PM,8.61370379,78.03152318,O-030617125658-86-18,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,11,other(study),,,,yes,00,066,10F+1M,eral,42,pack,other(breeding),4 to 8 hours,5,no_stress_hours,6
Jun,03/06/17,01:36 PM,03/06/17 07:12 PM,8.28536879,77.88694434,O-030617133624-86-19,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,11,other(study),,,,yes,01,067,,periyathalai,65,pack,pack,4 to 8 hours,1,no_stress_hours,6
Jun,03/06/17,03:31 PM,03/06/17 07:12 PM,8.29747061,77.91039846,O-030617153126-86-20,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,tuticorin,No,consent given,male,12,worming,,11,,yes,00,068,3M+9F,overi,35,pack,other(breeding),4 to 8 hours,3,no_stress_hours,6
Jun,03/06/17,04:10 PM,08/06/17 05:08 AM,11.24712508,76.96121206,O-030617161033-86-21,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,22,other(study),,,,yes,01,080,8M+14F,karamadai,50,pack,"dhobis_assistance,other(breeding)",4 to 8 hours,5,no_stress_hours,5
Jun,06/06/17,07:39 AM,08/06/17 05:08 AM,11.24754644,76.96268813,O-060617073932-86-22,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,11,other(study),,,,yes,02,081,,karamadai,40,pack,"dhobis_assistance,other(breeding)",4 to 8 hours,3,yes_stress_hours,5
Jun,06/06/17,08:22 AM,08/06/17 05:08 AM,11.24750295,76.96267855,O-060617082200-86-23,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,7,other(study),,,,yes,00,082,6F+1M,karamadai,37,pack,"pack,other(breeding)",4 to 8 hours,3,yes_stress_hours,5
Jun,06/06/17,08:23 AM,08/06/17 05:08 AM,11.30628751,76.90136102,O-060617082342-86-24,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,16,"treatment,other(study)",,,,yes,01,083,12M+4F,sukkukapikadai,47,pack,other(breeding),4 to 8 hours,4,yes_stress_hours,5
Jun,06/06/17,09:47 AM,08/06/17 05:08 AM,11.29683773,76.90676647,O-060617094759-86-25,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,5,other(study),,,,yes,00,084,3M+2F,sukkukapikadai,52,pack,other(breeding),4 to 8 hours,1,no_stress_hours,6
Jun,06/06/17,05:22 PM,08/06/17 05:08 AM,11.29684419,76.90687048,O-060617172252-86-26,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,6,other(study),,,,yes,00,085,2M+4F,sukkukapikadai,46,pack,other(breeding),less than 4,1,no_stress_hours,1
Jun,06/06/17,05:24 PM,08/06/17 05:08 AM,11.28528742,76.88629614,O-060617172429-86-27,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,12,other(study),,,,yes,00,086,8M+4F,nellithurai,46,pack,other(breeding),4 to 8 hours,4,no_stress_hours,6
Jun,07/06/17,07:30 AM,08/06/17 05:08 AM,11.28520852,76.88634352,O-070617073029-86-28,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,15,other(study),,,,yes,00,087,8M+7F,nellithurai,40,pack,other(breeding),4 to 8 hours,4,no_stress_hours,5
Jun,07/06/17,07:33 AM,08/06/17 05:08 AM,11.30457072,76.92206651,O-070617073301-86-29,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,6,other(study),,,,yes,00,088,3M+3F,sm nagar,42,pack,other(breeding),less than 4,3,no_stress_hours,6
Jun,07/06/17,09:39 AM,08/06/17 05:08 AM,11.31198427,76.93097576,O-070617093913-86-30,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam ,No,consent given,male,7,other(study),,,,yes,00,090,7F,odanthurai,42,pack,other(breeding),less than 4,1,no_stress_hours,6
Jun,07/06/17,10:08 AM,08/06/17 05:08 AM,10.96729696,76.80134,O-070617100857-86-31,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,9,other(study),,,,yes,00,091,,alanthurai,45,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,07/06/17,12:48 PM,08/06/17 05:08 AM,10.97451288,76.81744424,O-070617124808-86-32,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,mettupalayam,No,consent given,male,4,other(study),,,,yes,00,092,,alanthurai,45,pack,pack,4 to 8 hours,3,no_stress_hours,6
Jun,07/06/17,01:19 PM,28/07/17 07:11 AM,9.8947166,77.2788279,O-070617131910-86-33,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,Theni,No,consent given,male,11,worming,,11,,yes,00,095,,devaram,29,pack,pack,4 to 8 hours,2,yes_stress_hours,4
Jul,25/07/17,09:38 AM,28/07/17 07:11 AM,9.8442727,77.29130961,O-250717093816-86-34,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,10,worming,,10,,yes,00,096,,kombai,30,pack,pack,4 to 8 hours,1,no_stress_hours,5
Jul,25/07/17,10:22 AM,28/07/17 07:11 AM,9.89686361,77.27797916,O-250717102255-86-35,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,5,worming,,1,,yes,00,097,,devaram,65,pack,pack,less than 4,3,no_stress_hours,5
Jul,25/07/17,11:13 AM,28/07/17 07:11 AM,10.01487716,77.34704123,O-250717111318-86-36,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,26,worming,,26,,yes,00,098,,bodi,48,pack,pack,4 to 8 hours,2,no_stress_hours,6
Jul,25/07/17,04:59 PM,28/07/17 07:11 AM,10.00146635,77.35301818,O-250717165936-86-37,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,18,worming,,18,,yes,00,099,,bodi,55,pack,pack,4 to 8 hours,1,no_stress_hours,6
Jul,25/07/17,05:55 PM,28/07/17 07:11 AM,10.00112829,77.35287698,O-250717175509-86-38,Nilgiris,ITC Donkey Clinics,EmmaRayner,Owner donkey records 1,Donkey,theni,No,consent given,male,28,worming,,28,,yes,00,100,,bodi,35,pack,pack,4 to 8 hours,3,no_stress_hours,5
